,year,make,model,trim,body,transmission,state,condition,odometer,color,interior,sellingprice,saleyear
0,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,16639.0,white,black,21500,2014
1,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,9393.0,white,beige,21500,2014
2,2014,BMW,3 Series,328i SULEV,Sedan,automatic,ca,4.5,1331.0,gray,black,30000,2015
3,2015,Volvo,S60,T5,Sedan,automatic,ca,4.1,14282.0,white,black,27750,2015
4,2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,ca,4.3,2641.0,gray,black,67000,2014
5,2015,Nissan,Altima,2.5 S,Sedan,automatic,ca,1.0,5554.0,gray,black,10900,2014
6,2014,BMW,M5,Base,Sedan,automatic,ca,3.4,14943.0,black,black,65000,2014
7,2014,Chevrolet,Cruze,1LT,Sedan,automatic,ca,2.0,28617.0,black,black,9800,2014
8,2014,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,ca,4.2,9557.0,white,black,32250,2014
9,2014,Chevrolet,Camaro,LT,Convertible,automatic,ca,3.0,4809.0,red,black,17500,2015
10,2014,Audi,A6,3.0T Prestige quattro,Sedan,automatic,ca,4.8,14414.0,black,black,49750,2014
11,2015,Kia,Optima,LX,Sedan,automatic,ca,4.8,2034.0,red,tan,17700,2014
12,2015,Ford,Fusion,SE,Sedan,automatic,ca,2.0,5559.0,white,beige,12000,2015
13,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,14634.0,silver,black,21500,2014
15,2015,Nissan,Altima,2.5 S,Sedan,automatic,ca,2.0,11398.0,black,black,14100,2014
17,2014,Audi,Q5,2.0T Premium Plus quattro,SUV,automatic,ca,4.9,7983.0,white,black,40000,2014
18,2014,Chevrolet,Camaro,LS,Coupe,automatic,ca,1.7,13441.0,black,black,17000,2014
19,2014,BMW,6 Series,650i,Convertible,automatic,ca,3.4,8819.0,black,black,67200,2014
20,2015,Chevrolet,Impala,LTZ,Sedan,automatic,ca,1.9,14538.0,silver,black,7200,2015
21,2014,BMW,5 Series,528i,Sedan,automatic,ca,2.9,25969.0,black,black,30000,2015
23,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,ca,4.9,5826.0,gray,black,23750,2014
24,2014,BMW,6 Series,650i,Convertible,automatic,ca,3.8,10736.0,black,black,65000,2015
26,2015,Volvo,XC70,T6,Wagon,automatic,ca,4.2,16506.0,brown,brown,32500,2015
27,2015,Volvo,XC70,T6,Wagon,automatic,ca,4.8,12725.0,beige,beige,32500,2015
29,2014,Chevrolet,Camaro,LT,Coupe,automatic,ca,4.2,11874.0,gray,black,19500,2014
30,2014,Chevrolet,Cruze,1LT,Sedan,automatic,ca,4.2,37888.0,gray,black,11500,2014
31,2014,Audi,SQ5,3.0T Premium Plus quattro,SUV,automatic,ca,4.2,9606.0,white,black,47500,2015
32,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,13757.0,red,black,20750,2014
33,2014,Audi,S5,Premium Plus quattro,Coupe,automatic,ca,3.8,5875.0,black,black,44500,2014
34,2015,Kia,Sorento,LX,SUV,automatic,ca,4.4,12862.0,gray,black,21000,2014
36,2015,Chevrolet,Suburban,LTZ,SUV,automatic,ca,4.5,11426.0,black,black,59900,2014
37,2014,BMW,3 Series,328i SULEV,Sedan,automatic,ca,5.0,111.0,black,—,30500,2015
38,2014,BMW,M5,Base,Sedan,automatic,ca,3.8,16360.0,black,black,64250,2015
39,2014,BMW,3 Series,328i SULEV,Sedan,automatic,ca,4.5,9027.0,white,black,27500,2015
40,2014,Cadillac,ELR,Base,Coupe,automatic,ca,4.7,4436.0,gray,black,44000,2015
42,2014,BMW,6 Series,650i,Convertible,automatic,ca,3.2,13205.0,white,black,65000,2015
43,2015,Volvo,V60,T5,Wagon,automatic,ca,4.1,11846.0,white,beige,30000,2014
45,2014,BMW,X6,xDrive35i,SUV,automatic,ca,4.0,379.0,white,black,51700,2014
46,2015,Volvo,V60,T5,Wagon,automatic,ca,4.2,12242.0,black,gray,30000,2014
47,2014,Chevrolet,Cruze,2LT,Sedan,automatic,ca,3.4,40661.0,silver,black,13000,2015
48,2014,Acura,ILX,Technology Package,Sedan,automatic,ca,2.5,9051.0,gray,black,21250,2014
49,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,13878.0,silver,black,20750,2014
50,2015,Volvo,V60,T5,Wagon,automatic,ca,3.7,10906.0,silver,black,30000,2014
52,2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,ca,4.2,7305.0,white,black,66100,2014
53,2015,Nissan,Altima,2.5 S,Sedan,automatic,ca,1.0,4314.0,black,black,11500,2014
54,2015,Kia,K900,Luxury,Sedan,automatic,ca,4.2,5304.0,blue,black,40000,2015
55,2015,Kia,Sorento,LX,SUV,automatic,ca,4.8,10357.0,silver,gray,20500,2014
